# ==================================================================
# Fastrad - RAY-TRACING - TID
# 
# TOTAL IONIZING DOSE CALCULATION RESULTS			 2018/12/03	18:19:14
# 
# Doses in krad (Si)
#
# Method : Slant Path
#
# ==================================================================
#
# Dose calculation with Solid Sphere Dose Curve
#
# Common Format (Total dose) :  [ mm , rad ]
# Electrons : C:\Users\Gebruiker\Documents\MSc Space Engineering\Thesis\SPENVIS orbit output\SAPPHIRE as input\Solar Maximum\1-in-n-year SPE\n=100\SolarMaximum_SPE_1_in_100_years_Sapphire_dosedepth.dat
#
#
#  N°  |   Total Dose |   Name   |
#      |    krad (Si) |          |
 00384 |  1.083e+002  | Detector |
 00385 |  1.082e+002  | Detector |
 00386 |  1.080e+002  | Detector |
 00387 |  1.080e+002  | Detector |
 00388 |  1.082e+002  | Detector |
 00389 |  1.081e+002  | Detector |
 00390 |  1.078e+002  | Detector |
 00391 |  1.075e+002  | Detector |
 00392 |  1.075e+002  | Detector |
 00393 |  1.071e+002  | Detector |
 00394 |  1.067e+002  | Detector |
 00395 |  1.052e+002  | Detector |
 00396 |  1.031e+002  | Detector |
 00397 |  9.660e+001  | Detector |
 00398 |  7.912e+001  | Detector |
 00399 |  7.917e+001  | Detector |
 00400 |  1.669e+000  | Detector |
 00401 |  9.049e+001  | Detector |
 00402 |  9.439e+001  | Detector |
 00403 |  1.137e+002  | Detector |
 00404 |  1.171e+002  | Detector |
 00405 |  1.182e+002  | Detector |
 00406 |  1.185e+002  | Detector |
 00407 |  1.184e+002  | Detector |
 00408 |  1.187e+002  | Detector |
 00409 |  1.187e+002  | Detector |
 00410 |  1.185e+002  | Detector |
 00411 |  1.185e+002  | Detector |
 00412 |  1.183e+002  | Detector |
 00413 |  1.181e+002  | Detector |
 00414 |  1.180e+002  | Detector |
 00415 |  1.172e+002  | Detector |
 00416 |  1.158e+002  | Detector |
 00417 |  1.123e+002  | Detector |
 00418 |  9.457e+001  | Detector |
 00419 |  1.583e+000  | Detector |
 00420 |  2.390e+000  | Detector |
 00421 |  9.048e+001  | Detector |
 00422 |  1.416e+002  | Detector |
 00423 |  1.282e+002  | Detector |
 00424 |  1.340e+002  | Detector |
 00425 |  1.357e+002  | Detector |
 00426 |  1.364e+002  | Detector |
 00427 |  1.363e+002  | Detector |
 00428 |  1.365e+002  | Detector |
 00429 |  1.364e+002  | Detector |
 00430 |  1.365e+002  | Detector |
 00431 |  1.363e+002  | Detector |
 00432 |  1.363e+002  | Detector |
 00433 |  1.362e+002  | Detector |
 00434 |  1.363e+002  | Detector |
 00435 |  1.361e+002  | Detector |
 00436 |  1.360e+002  | Detector |
 00437 |  1.351e+002  | Detector |
 00438 |  1.339e+002  | Detector |
 00439 |  1.287e+002  | Detector |
 00440 |  9.043e+001  | Detector |
 00441 |  1.046e+002  | Detector |
 00442 |  8.967e+001  | Detector |
 00443 |  1.352e+002  | Detector |
 00444 |  1.203e+002  | Detector |
 00445 |  1.303e+002  | Detector |
